,628.pop2_s-17B.champsimtrace.xz,641.leela_s-149B.champsimtrace.xz,654.roms_s-293B.champsimtrace.xz,620.omnetpp_s-141B.champsimtrace.xz,631.deepsjeng_s-928B.champsimtrace.xz,625.x264_s-12B.champsimtrace.xz,603.bwaves_s-2931B.champsimtrace.xz,619.lbm_s-2676B.champsimtrace.xz,644.nab_s-12459B.champsimtrace.xz,605.mcf_s-1536B.champsimtrace.xz,638.imagick_s-10316B.champsimtrace.xz,607.cactuBSSN_s-2421B.champsimtrace.xz,648.exchange2_s-387B.champsimtrace.xz,621.wrf_s-575B.champsimtrace.xz,657.xz_s-4994B.champsimtrace.xz,649.fotonik3d_s-1176B.champsimtrace.xz,623.xalancbmk_s-165B.champsimtrace.xz,627.cam4_s-490B.champsimtrace.xz,602.gcc_s-1850B.champsimtrace.xz,600.perlbench_s-1273B.champsimtrace.xz
0,2.113,1.18,1.514,0.4289,1.248,2.775,0.7035,0.2346,1.586,0.3411,3.82,2.284,1.102,1.73,1.627,1.211,1.068,1.365,0.4091,2.554
1,4.264,19.93,0.0223,17.77,15.99,4.319,1.636,0.7445,13.42,0.0418,0.3128,0.7624,26.24,9.321,14.41,0.0044,9.702,10.68,31.17,4.293
2,4.21,19.7,0.0223,15.3,15.5,4.31,1.64,0.744,13.1,0.0418,0.313,0.394,25.8,9.3,14.4,0.0044,9.7,10.7,31.2,3.94
3,601716.0,246867.0,318893.0,700131.0,52648.0,10145.0,465665.0,2738775.0,126970.0,1797676.0,178293.0,2104885.0,6604.0,1238.0,10526.0,440485.0,380590.0,525476.0,482781.0,1870.0
4,424424.0,175787.0,129236.0,322256.0,41132.0,4841.0,165233.0,1845545.0,116212.0,796766.0,177511.0,2013694.0,5502.0,180.0,7183.0,265059.0,254.0,300550.0,126384.0,690.0
