,628.pop2_s-17B.champsimtrace.xz,641.leela_s-149B.champsimtrace.xz,654.roms_s-293B.champsimtrace.xz,620.omnetpp_s-141B.champsimtrace.xz,631.deepsjeng_s-928B.champsimtrace.xz,625.x264_s-12B.champsimtrace.xz,603.bwaves_s-2931B.champsimtrace.xz,619.lbm_s-2676B.champsimtrace.xz,644.nab_s-12459B.champsimtrace.xz,605.mcf_s-1536B.champsimtrace.xz,638.imagick_s-10316B.champsimtrace.xz,607.cactuBSSN_s-2421B.champsimtrace.xz,648.exchange2_s-387B.champsimtrace.xz,621.wrf_s-575B.champsimtrace.xz,657.xz_s-4994B.champsimtrace.xz,649.fotonik3d_s-1176B.champsimtrace.xz,623.xalancbmk_s-165B.champsimtrace.xz,627.cam4_s-490B.champsimtrace.xz,602.gcc_s-1850B.champsimtrace.xz,600.perlbench_s-1273B.champsimtrace.xz
0,2.781,3.338,1.529,0.7254,2.612,3.919,0.703,0.2341,3.935,0.3406,3.969,2.288,3.954,3.213,3.957,1.212,2.389,2.208,2.215,3.793
1,0.05285,0.194,0.0,2.511,0.4578,0.0084,0.0,0.0,0.2921,0.0,5e-05,0.3689,0.4417,0.02255,0.00195,0.0,0.0,0.00645,0.0097,0.3494
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
